Instrument,Date,Time,Record Type,Price,Volume,Value,Bid Price,Bid Size,Ask Price,Ask Size,Midpoint Price,Spread,Relative Spread,Qualifiers
"WOW","2016-05-02","07:05:27.654","OFFTR","24.500","1000","24500","","","","","","","","EP"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","417","9186.51","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","18","396.54","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","329","7247.87","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","3","66.09","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","244","5375.32","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","262","5771.86","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","80","1762.4","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","11","242.33","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","39","859.17","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","280","6168.4","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","231","5088.93","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","18","396.54","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","151","3326.53","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","49","1079.47","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","20","440.6","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","28","616.84","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","172","3789.16","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","328","7225.84","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","10","220.3","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","400","8812","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","400","8812","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","82","1806.46","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","351","7732.53","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","305","6719.15","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","495","10904.85","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","266","5859.98","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","83","1828.49","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","335","7380.05","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","3","66.09","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","440","9693.2","","","","","22.03","","","AC XT"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","338","7446.14","","","","","22.03","","","AC XT"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","232","5110.96","","","","","22.03","","","AC XT"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","2426","53444.78","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","5584","123015.52","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","3","66.09","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","397","8745.91","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","40","881.2","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","43","947.29","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","24","528.72","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","1570","34587.1","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","24","528.72","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","230","5066.9","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","393","8657.79","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","137","3018.11","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","482","10618.46","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","1944","42826.32","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","2196","48377.88","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","230","5066.9","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","455","10023.65","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","1971","43421.13","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","5","110.15","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","534","11764.02","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","606","13350.18","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","297","6542.91","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","984","21677.52","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","618","13614.54","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","147","3238.41","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","251","5529.53","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","1119","24651.57","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","31","682.93","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","3285","72368.55","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","14","308.42","","","","","22.03","","","AC XT"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","45","991.35","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","5","110.15","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","395","8701.85","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","226","4978.78","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","254","5595.62","","","","","22.03","","","AC"
"WOW","2016-05-02","10:08:59.029","TRADE","22.030","196","4317.88","","","","","22.03","","","AC"
