Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Approximate location,Depth (km),Solution finalised,EVENT ID,ORIGIN ID
5.8,2016-10-01,04:25:47,2016-10-01,14:25:47,-23.524,-179.943,South of Fiji Islands.,567.0,PREL,1214572,1386403
6.8,2016-09-24,21:28:40,2016-09-25,07:28:40,-19.617,-178.223,Fiji Islands Region.,586.0,FINL,1210872,1384170
6.6,2016-09-24,21:07:13,2016-09-25,07:07:13,-18.089,-175.043,Tonga Islands.,173.0,FINL,1210811,1384155
6.0,2016-09-24,11:04:30,2016-09-24,21:04:30,-1.969,140.523,"Near North Coast of Papua, Indonesia.",15.0,FINL,1210464,1384150
6.4,2016-09-23,22:53:11,2016-09-24,08:53:11,6.526,126.611,"Mindanao, Philippines.",82.0,FINL,1209956,1384062
5.8,2016-09-20,13:10:45,2016-09-20,23:10:45,-1.969,138.968,"Near North Coast of Papua, Indonesia.",0.0,FINL,1207799,1379704
5.9,2016-09-18,07:17:37,2016-09-18,17:17:37,-2.052,140.46,"Near North Coast of Papua, Indonesia.",18.0,FINL,1206859,1379035
6.2,2016-09-17,01:20:19,2016-09-17,11:20:19,-2.02,140.605,"Near North Coast of Papua, Indonesia.",19.0,FINL,1205929,1378624
6.2,2016-09-14,07:25:03,2016-09-14,17:25:03,-9.393,159.174,Solomon Islands.,39.0,FINL,1204915,1376630
6.3,2016-09-08,21:46:20,2016-09-09,07:46:20,-54.521,158.609,Macquarie Island Region.,0.0,FINL,1202847,1374279
5.9,2016-09-05,15:19:00,2016-09-06,01:19:00,-37.204,178.93,"Off East Coast of North Island, NZ.",0.0,FINL,1201239,1372937
5.9,2016-09-04,02:38:15,2016-09-04,12:38:15,8.356,125.994,"Mindanao, Philippines.",48.0,FINL,1200456,1372812
5.8,2016-09-01,20:06:11,2016-09-02,06:06:11,-37.468,178.478,"Off East Coast of North Island, NZ.",0.0,FINL,1198710,1370193
5.9,2016-09-01,19:18:31,2016-09-02,05:18:31,-37.188,178.638,"Off East Coast of North Island, NZ.",0.0,FINL,1198566,1370092
5.8,2016-09-01,17:36:03,2016-09-02,03:36:03,-37.243,178.987,"Off East Coast of North Island, NZ.",24.0,FINL,1198387,1370082
6.1,2016-09-01,17:14:07,2016-09-02,03:14:07,-37.13,178.814,"Off East Coast of North Island, NZ.",11.0,FINL,1198274,1370046
5.8,2016-09-01,17:01:09,2016-09-02,03:01:09,-37.12,179.038,"Off East Coast of North Island, NZ.",19.0,FINL,1198193,1370008
6.9,2016-09-01,16:38:00,2016-09-02,02:38:00,-37.295,178.618,"Off East Coast of North Island, NZ.",0.0,FINL,1198096,1369976
6.7,2016-08-31,03:11:31,2016-08-31,13:11:31,-3.681,152.866,"New Ireland Region, PNG.",436.0,FINL,1189978,1361327
6.0,2016-08-23,19:39:44,2016-08-24,05:39:44,-7.249,122.396,Flores Sea. (Reported felt).,522.0,FINL,1186776,1358121
5.8,2016-08-18,04:30:07,2016-08-18,14:30:07,-19.768,148.863,"Offshore NE of Bowen, QLD. (Reported felt).",0.0,FINL,1184258,1355082
5.9,2016-08-12,03:29:29,2016-08-12,13:29:29,-25.339,-176.938,South of Fiji Islands.,87.0,FINL,1181186,1353662
7.3,2016-08-12,01:26:33,2016-08-12,11:26:33,-22.476,173.155,Southeast of Loyalty Islands.,1.0,FINL,1180996,1353652
5.8,2016-08-10,04:06:59,2016-08-10,14:06:59,5.507,125.827,"Mindanao, Philippines.",131.0,FINL,1180274,1351061
5.9,2016-07-31,23:39:59,2016-08-01,09:39:59,-8.197,117.869,"Sumbawa Region, Indonesia.",8.0,FINL,1177184,1347943
5.9,2016-07-30,13:19:11,2016-07-30,23:19:11,-6.979,155.784,Solomon Islands.,78.0,FINL,1176265,1347429
6.1,2016-07-26,08:04:22,2016-07-26,18:04:22,-15.918,167.616,Vanuatu Islands.,53.0,FINL,1174466,1344973
6.5,2016-07-25,19:38:42,2016-07-26,05:38:42,-2.923,148.15,"Admiralty Islands Region, PNG.",0.0,FINL,1174248,1344408
6.1,2016-07-25,08:58:29,2016-07-25,18:58:29,-49.454,125.972,Western Indian-Antarctic Ridge.,0.0,FINL,1174070,1344345
6.2,2016-07-20,15:13:17,2016-07-21,01:13:17,-18.86,169.02,Vanuatu Islands.,175.0,FINL,1171968,1342066
5.8,2016-07-18,21:09:27,2016-07-19,07:09:27,-19.058,-177.429,Fiji Islands Region.,566.0,FINL,1171391,1341362
6.4,2016-07-13,12:11:10,2016-07-13,22:11:10,-27.881,-176.338,Kermadec Islands Region.,0.0,FINL,1169316,1339259
6.0,2016-07-13,11:57:01,2016-07-13,21:57:01,-27.915,-176.16,Kermadec Islands Region.,40.0,FINL,1169281,1339255
5.8,2016-07-12,08:48:47,2016-07-12,18:48:47,-6.525,147.517,"Eastern New Guinea Region, PNG..",70.0,FINL,1168849,1338772
5.8,2016-07-04,09:25:42,2016-07-04,19:25:42,-10.579,164.933,Santa Cruz Islands Region.,72.0,FINL,1165927,1335467
5.9,2016-06-30,11:30:36,2016-06-30,21:30:36,-15.957,167.604,Vanuatu Islands.,64.0,FINL,1164695,1334048
6.2,2016-06-21,17:12:09,2016-06-22,03:12:09,-3.731,151.893,"New Ireland Region, PNG.",367.0,FINL,1161112,1330309
6.2,2016-06-20,03:51:02,2016-06-20,13:51:02,-20.078,168.747,Loyalty Islands.,71.0,FINL,1160381,1329584
6.4,2016-06-19,09:47:15,2016-06-19,19:47:15,-20.231,168.825,Loyalty Islands.,116.0,FINL,1160809,1329622
6.3,2016-06-14,13:49:24,2016-06-14,23:49:24,-18.725,168.837,Vanuatu Islands.,125.0,FINL,1157941,1326873
6.2,2016-06-10,04:17:46,2016-06-10,14:17:46,-8.712,160.611,Solomon Islands.,54.0,FINL,1156454,1326372
6.2,2016-06-09,04:13:06,2016-06-09,14:13:06,-11.324,116.206,"South of Sumbawa, Indonesia.",8.0,FINL,1155973,1324954
6.7,2016-06-07,19:15:16,2016-06-08,05:15:16,1.31,126.359,Northern Molucca Sea.,47.0,FINL,1155563,1324472
6.2,2016-06-06,02:35:30,2016-06-06,12:35:30,-30.166,-177.212,"Kermadec Islands, NZ.",56.0,FINL,1154941,1324240
6.3,2016-06-05,16:25:34,2016-06-06,02:25:34,-4.58,125.669,Banda Sea.,445.0,FINL,1154709,1323669
6.5,2016-06-01,22:56:04,2016-06-02,08:56:04,-2.03,100.74,"Southern Sumatra, Indonesia.",87.0,FINL,1153166,1321632
6.1,2016-05-30,07:14:15,2016-05-30,17:14:15,-30.246,-177.872,"Kermadec Islands, NZ.",29.0,FINL,1151828,1321034
6.9,2016-05-28,05:38:51,2016-05-28,15:38:51,-21.851,-178.159,Fiji Islands Region.,413.0,FINL,1150833,1320478
6.3,2016-05-27,04:08:44,2016-05-27,14:08:44,-20.646,-178.622,Fiji Islands Region.,573.0,FINL,1150314,1320394
6.1,2016-05-20,18:14:02,2016-05-21,04:14:02,-25.579,129.832,"Petermann Ranges, NT. (Reported felt).",0.0,FINL,1148261,1316703
